Site ID,Name,Manager,Classification,Status,Permit Status,Region
3799,ConocoPhillips GMT-Alpine Mobile G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
3800,ConocoPhillips GMT-Alpine Mobile Hammer Mill,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
2251,Cook Inlet Energy Osprey Platform G&I,Reese Thieme,Treatment Facility,Active,Expired,Nikiski
693,Cook Inlet Energy West McArthur G&I,Reese Thieme,Treatment Facility,Active,Current,Tyonek
681,Cordova Mile 17 Landfill,Christi Scott,Class II Landfill,Active,Administrative Continuance,Cordova
445,Council Landfill,Trisha Bower,Class III Landfill,Active,,Council
533,Crooked Creek Landfill,Sarah Durand,Class III Landfill,Active,Current,Crooked Creek
1824,Deering Landfill,Christi Scott,Class III Landfill,Active,Current,Deering
651,Delta Junction Landfill,Neil Lehner,Class II Landfill,Active,Current,Delta Junction
567,Delta Junction Whitestone Farms Land Application,Neil Lehner,Land Application Site,Active,Current,Delta Junction
378,Denali Borough Landfill,Neil Lehner,Class II Landfill,Active,Current,Healy
1722,Denali Regional Sewage Solids Monofill,Neil Lehner,Sewage Solids Monofill,Active,Current,Anderson
223,Dillingham Landfill,Stephen Price,Class II Landfill,Active,Current,Dillingham
453,Diomede Transfer Site,Trisha Bower,Transfer Station,Active,,Little Diomede
71,Dot Lake Landfill,Sarah Durand,Class III Landfill,Active,Current,Dot Lake
74,Dry Creek Landfill,Sarah Durand,Class III Landfill,Active,Current,Delta Junction
76,Eagle Landfill,Sarah Durand,Class III Landfill,Active,Current,Eagle
117,Eagle Layman Septic Landfill,Doug Buteyn,Sewage Solids Monofill,Active,Current,Eagle
696,Eareckson Air Station Landfill 2,Neil Lehner,Class II Landfill,Active,Current,Shemya
3795,Eek 1-Time C&D,Melinna Faw,1-Time Inert Waste Monofill,Active,Current,Eek
2321,Eek Eastside Landfill,Melinna Faw,Class III Landfill,Active,Current,Eek
227,Egegik Landfill,Stephen Price,Class III Landfill,Active,Expired,Egegik
75,Eielson AFB Asbestos Ash Landfill,Neil Lehner,Asbestos Monofill,Active,Current,Eielson Air Force Base
600,Eielson AFB Quarry Hill Inert Waste,Neil Lehner,Inert Monofill,Active,Current,Eielson Air Force Base
82,Eielson AFB Treatment and Land Application,Neil Lehner,Land Application Site,Active,Current,Eielson Air Force Base
2064,Ekuk Fisheries LLC Camp GP,Stephen Price,Remote Camp or Lodge Landfill,Active,Current,Ekuk
228,Ekuk Landfill,Stephen Price,Class III Landfill,Active,In Progress,Ekuk
2322,Ekwok West Klutuk Creek Landfill,Stephen Price,Class III Landfill,Active,Current,Ekwok
528,Elim Landfill,Trisha Bower,Class III Landfill,Active,Current,Elim
3733,Emmonak Kwikpak Fill,Stephen Price,Other,Active,Expired,Emmonak
2041,Emmonak Northwest Landfill,Stephen Price,Class III Landfill,Active,Current,Emmonak
1709,ENI Nikaitchuq G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
704,ENI Oooguruk G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
1746,ENI Spy Island G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
3745,Entech Medical Waste Treatment,Lori Aldrich,Treatment Facility,Active,Current,Anchorage
86,Evansville Landfill,Trisha Bower,Class III Landfill,Active,Current,Evansville
1917,Excursion Inlet Doc Warner's Alaska Fishing Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Excursion Inlet
697,Fairbanks Reeves C&D,Neil Lehner,Inert Monofill,Active,Current,Fairbanks
89,Fairbanks South Cushman Landfill,Neil Lehner,Class I Landfill,Active,Current,Fairbanks
515,False Pass Landfill,Melinna Faw,Class III Landfill,Active,Current,False Pass
1688,Fort Greely Inert Waste,Neil Lehner,Inert Monofill,Active,Current,Fort Greely
96,Fort Greely Landfill,Neil Lehner,Class II Landfill,Active,Current,Fort Greely
90,Fort Knox Mine Inert Waste,Neil Lehner,Inert Monofill,Active,Expired,Chatanika
91,Fort Knox Mine Tailing Disposal,Neil Lehner,Mining Waste Monofill,Active,Expired,Fox
97,Fort Wainwright Landfill,Neil Lehner,Class I Landfill,Active,Current,Fort Wainwright
446,Fort Yukon Landfill,Trisha Bower,Class III Landfill,Active,Expired,Fort Yukon
92,Fort Yukon LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Fort Yukon
60,Galena Landfill,Sarah Durand,Class III Landfill,Active,Current,Galena
2187,Gambell West Landfill,Trisha Bower,Class III Landfill,Active,,Gambell
5,Glacier Bay National Park Camp,Christi Scott,Class III Camp Landfill,Active,Current,Glacier Bay Lodge
234,Glennallen Landfill,Evan Miller,Class II Landfill,Active,Current,Glennallen
377,Golden Heart Utilities Biosolids Treatment,Neil Lehner,Treatment Facility,Active,Current,Fairbanks
61,Golovin 1.7 Mile North Landfill,Trisha Bower,Class III Landfill,Active,Current,Golovin
235,Goodnews Bay Landfill,Melinna Faw,Class III Landfill,Active,Current,Goodnews Bay
236,Grayling Landfill,Sarah Durand,Class III Landfill,Active,Current,Grayling
369,Greens Creek Mine Tailings Waste Rock & Underground,Doug Buteyn,Industrial Monofill,Active,Expired,Juneau
3,Gustavus Disposal & Recycling Center (DRC),Christi Scott,Class III Landfill,Active,Current,Gustavus
25,Haines CWS Landfill,Christi Scott,Class III Landfill,Active,Current,Haines
416,Healy Lake Landfill,Sarah Durand,Class III Landfill,Active,,Healy
195,Hilcorp Beluga Central Drilling Waste,Reese Thieme,Drilling Waste Monofill,Active,Current,Beluga
206,Hilcorp Endicott Drilling Waste GP,Reese Thieme,Storage Facility,Active,Current,Prudhoe Bay
473,Hilcorp Kenai Gas Field 41-18 G&I,Reese Thieme,Treatment Facility,Active,Current,Kenai
123,Hilcorp Milne Point A Pad Drilling Waste,Reese Thieme,Drilling Waste Monofill,Active,Current,Deadhorse
3649,Hilcorp Milne Point B Pad G&I,Reese Thieme,Treatment Facility,Active,Current,Milne Point
706,Hilcorp Swanson River G&I,Reese Thieme,Treatment Facility,Active,Current,Sterling
238,Holy Cross Landfill,Sarah Durand,Class III Landfill,Active,Current,Holy Cross
3751,Homer C&D Monofill,Evan Miller,Inert Monofill,Active,Current,Homer
2,Hoonah Landfill,Christi Scott,Class III Landfill,Active,Current,Hoonah
240,Hooper Bay Landfill,Stephen Price,Class III Landfill,Active,Current,Hooper Bay
382,Hughes 1.7 mile South Landfill,Trisha Bower,Class III Landfill,Active,Current,Hughes
660,Huslia 1.8 mile Southeast Landfill,Trisha Bower,Class III Landfill,Active,Current,Huslia
479,Hydaburg Landfill,Christi Scott,Class III Landfill,Active,Current,Hydaburg
1743,Hyder Landfill,Christi Scott,Class III Landfill,Active,,Hyder
467,Igiugig Landfill,Stephen Price,Class III Landfill,Active,Current,Igiugig
242,Iliamna Landfill,Stephen Price,Class III Landfill,Active,Current,Iliamna
107,Indian Mountain LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Hughes
3776,Juneau Biosolid Treatment Facility,Christi Scott,Treatment Facility,Active,Current,Juneau
438,Juneau Capitol Disposal Landfill,Christi Scott,Class I Landfill,Active,Current,Juneau
486,Juneau CBJ JD WWRx Plant Biosolids,Christi Scott,Sewage Solids Monofill,Active,Current,Juneau
7,Kake Landfill,Christi Scott,Class III Landfill,Active,Revoked,Kake
1757,Kaktovik 1.9 SE  Landfill,Trisha Bower,Class III Landfill,Active,Current,Kaktovik
568,Kaltag 1.3 mile North Landfill,Sarah Durand,Class III Landfill,Active,Current,Kaltag
246,Karluk Landfill,Stephen Price,Class III Landfill,Active,Expired,Karluk
247,Kasigluk Landfill,Melinna Faw,Class III Landfill,Active,,Kasigluk
575,Katmai Lodge Camp GP,Stephen Price,Remote Camp or Lodge Landfill,Active,Current,Katmai
1695,Kel's Land Application,Neil Lehner,Land Application Site,Active,Current,Delta Junction
687,Kenai NRD Inert Waste,Reese Thieme,Inert Monofill,Active,Current,Kenai
368,Kensington Mine Underground C&D,Doug Buteyn,Inert Monofill,Active,Administrative Continuance,Juneau
23,Ketchikan Deer Mountain Landfill,Christi Scott,Class III Landfill,Active,Current,Ketchikan
415,Kiana Landfill,Sarah Durand,Class III Landfill,Active,Current,Kiana
249,King Cove Landfill,Melinna Faw,Class III Landfill,Active,Current,King Cove
250,King Salmon USAF ,Stephen Price,Asbestos Monofill,Active,Administrative Continuance,King Salmon
402,Kipnuk Landfill,Melinna Faw,Class III Landfill,Active,Current,Kipnuk
451,Kivalina Landfill,Christi Scott,Class III Landfill,Active,,Kivalina
1,Klawock Landfill,Christi Scott,Class III Landfill,Active,Current,Klawock
3709,Klawock-Heenya Crab Creek 1.2 Mile Woodwaste,Christi Scott,Woodwaste Monofill,Active,Current,Klawock
3708,Klawock-Heenya Crab Creek 2.1 Mile Woodwaste,Christi Scott,Woodwaste Monofill,Active,Current,Klawock
397,Klukwan Landfill,Christi Scott,Class III Landfill,Active,Current,Klukwan
410,Kobuk Landfill,Sarah Durand,Class III Landfill,Active,Current,Kobuk
3552,Kodiak Biosolids Treatment Facility,Lori Aldrich,Treatment Facility,Active,Current,Kodiak
403,Kodiak KIB Landfill,Evan Miller,Class I Landfill,Active,Current,Kodiak
1737,Kokhanok Landfill,Stephen Price,Class III Landfill,Active,Current,Kokhanok
526,Koliganek Landfill,Stephen Price,Class III Landfill,Active,Current,Koliganek
251,Kongiganak Landfill,Melinna Faw,Class III Landfill,Active,Current,Kongiganak
252,Kotlik Landfill,Stephen Price,Class III Landfill,Active,Current,Kotlik
113,Kotzebue Landfill,Neil Lehner,Class II Landfill,Active,Expired,Kotzebue
452,Koyuk Landfill,Trisha Bower,Class III Landfill,Active,Current,Koyuk
385,Koyukuk .5 mile North Landfill,Sarah Durand,Class III Landfill,Active,Current,Koyukuk
257,Kwethluk Landfill,Melinna Faw,Class III Landfill,Active,Current,Kwethluk
3741,Kwethluk School Sewage Lagoon,Melinna Faw,1-Time Sewage Lagoon Closure,Active,Approved,Kwethluk
258,Kwigillingok Landfill,Melinna Faw,Class III Landfill,Active,,Kwigillingok
694,Lake Marie Lodge Camp GP,Evan Miller,Remote Camp or Lodge Landfill,Active,Expired,Matanuska
381,Lake Minchumina Landfill,Sarah Durand,Class III Landfill,Active,Current,Lake Minchumina
259,Larsen Bay Landfill,Stephen Price,Class III Landfill,Active,Current,Larsen Bay
537,Levelock Landfill,Stephen Price,Class III Landfill,Active,Current,Levelock
260,Lime Village Landfill,Sarah Durand,Class III Landfill,Active,Current,Lime Village
513,Long Island Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Hydaburg
261,Lower Kalskag Landfill,Sarah Durand,Class III Landfill,Active,Current,Lower Kalskag
121,Manley Hot Springs Landfill,Trisha Bower,Class III Landfill,Active,Current,Manley Hot Springs
539,Manokotak Heights Landfill,Stephen Price,Class III Landfill,Active,Current,Manokotak
263,Marshall Landfill,Stephen Price,Class III Landfill,Active,Current,Marshall
265,McGrath Landfill,Sarah Durand,Class III Landfill,Active,Current,McGrath
266,Mekoryuk Landfill,Melinna Faw,Class III Landfill,Active,Current,Mekoryuk
3765,Mertarvik Landfill,Melinna Faw,Class III Landfill,Active,Current,Mertarvik
3659,Minto 4.2 NW Mile Landfill,Trisha Bower,Class III Landfill,Active,Current,Minto
268,Mountain Village Landfill,Stephen Price,Class III Landfill,Active,Current,Mountain Village
269,Naknek Bristol Bay Borough Landfill,Stephen Price,Class II Landfill,Active,Expired,Naknek
270,Nanwalek Landfill,Evan Miller,Class III Landfill,Active,Current,Nanwalek
1745,Napaimute Landfill,Sarah Durand,Class III Landfill,Active,Current,Napaimute
2250,Napakiak Landfill,Melinna Faw,Class III Landfill,Active,Current,Napakiak
272,Napaskiak Landfill,Melinna Faw,Class III Landfill,Active,Current,Napaskiak
542,Nelson Lagoon Landfill,Melinna Faw,Class III Landfill,Active,Current,Nelson Lagoon
274,New Stuyahok Landfill,Stephen Price,Class III Landfill,Active,Current,New Stuyahok
275,Newhalen Landfill,Stephen Price,Class III Landfill,Active,Current,Newhalen
276,Newtok Landfill,Melinna Faw,Class III Landfill,Active,,Newtok
3793,Nightmute East Landfill,Melinna Faw,Class III Landfill,Active,Current,Nightmute
277,Nightmute Landfill,Melinna Faw,Class III Landfill,Active,,Nightmute
1754,Nikiski AER Drilling Waste Disposal Facility,Reese Thieme,Drilling Waste Monofill,Active,Expired,Nikiski
3683,Nikiski Disposal Sewage Solids Monofill,Reese Thieme,Sewage Solids Monofill,Active,Current,Nikiski
540,Nikolai Landfill,Sarah Durand,Class III Landfill,Active,Current,Nikolai
2363,Nikolski Landfill,Melinna Faw,Class III Landfill,Active,Current,Nikolski
672,Nikolski Sewage Solids Monofill,Melinna Faw,1-Time Sewage Solids Monofill,Active,Approved,Nikolski
496,Nixon Fork Mine GP,Neil Lehner,Remote Camp or Lodge Landfill,Active,Administrative Continuance,McGrath
456,Noatak Landfill,Sarah Durand,Class III Landfill,Active,Current,Noatak
388,Nome Inert Waste,Neil Lehner,Inert Monofill,Active,Current,Nome
129,Nome Landfill,Neil Lehner,Class II Landfill,Active,Current,Nome
678,Nondalton Landfill,Stephen Price,Class III Landfill,Active,Current,Nondalton
392,Noorvik 2.6 mile East Landfill,Sarah Durand,Class III Landfill,Active,Current,Noorvik
131,Northway Landfill,Sarah Durand,Class III Landfill,Active,Current,Northway
132,Nuiqsut Landfill,Trisha Bower,Class III Landfill,Active,Current,Nuiqsut
457,Nulato Landfill,Sarah Durand,Class III Landfill,Active,Expired,Nulato
304,Nunam Iqua Landfill,Stephen Price,Class III Landfill,Active,Current,Nunam Iqua
278,Nunapitchuk Landfill,Melinna Faw,Class III Landfill,Active,Denied,Nunapitchuk
3742,Nuuciq Spirit Camp Sewage Solids Monofill,Stephen Price,1-Time Sewage Solids Monofill,Active,Expired,Nuchek
133,OIT Inc. Moose Creek Solid Waste Treatment,Doug Buteyn,Treatment Facility,Active,Current,Moose Creek
279,Old Harbor Landfill,Stephen Price,Class III Landfill,Active,Current,Old Harbor
280,Oscarville Landfill,Melinna Faw,Class III Landfill,Active,Current,Oscarville
293,Ouzinkie Landfill,Stephen Price,Class III Landfill,Active,Current,Ouzinkie
137,Oxbow Landfill,Reese Thieme,Class I Landfill,Active,Current,Deadhorse
652,Palmer AK Demo C&D Waste Monofill,Reese Thieme,Inert Monofill,Active,Current,Palmer
264,Palmer MSB Central Landfill,Evan Miller,Class I Landfill,Active,Current,Palmer
522,Pedro Bay Landfill,Stephen Price,Class III Landfill,Active,Expired,Pedro Bay
468,Pelican Landfill,Christi Scott,Class III Landfill,Active,Current,Pelican
282,Perryville Landfill,Stephen Price,Class III Landfill,Active,,Perryville
291,Peter Pan Port Moller Camp GP,Melinna Faw,Remote Camp or Lodge Landfill,Active,Current,Port Moller
366,Petersburg Landfill,Christi Scott,Class III Landfill,Active,Current,Petersburg
525,Pilot Point Northeast Landfill,Stephen Price,Class III Landfill,Active,Current,Pilot Point
284,Pilot Station Landfill,Stephen Price,Class III Landfill,Active,Current,Pilot Station
285,Platinum Landfill,Melinna Faw,Class III Landfill,Active,Application Withdrawn,Platinum
492,Pogo Mine Inert Waste,Neil Lehner,Inert Monofill,Active,Current,Delta Junction
140,Point Hope Landfill,Trisha Bower,Class III Landfill,Active,Current,Point Hope
141,Point Lay Landfill,Trisha Bower,Class III Landfill,Active,Current,Point Lay
288,Port Graham Landfill,Evan Miller,Class III Landfill,Active,Current,Port Graham
289,Port Heiden Landfill,Stephen Price,Class III Landfill,Active,Current,Port Heiden
290,Port Lions Landfill,Stephen Price,Class III Landfill,Active,Current,Port Lions
292,Quinhagak Landfill,Melinna Faw,Class III Landfill,Active,Current,Quinhagak
294,Rainy Pass Lodge,Melinna Faw,Remote Camp or Lodge Landfill,Active,,Rainy Pass Lodge
154,Rampart Landfill,Trisha Bower,Class III Landfill,Active,Current,Rampart
295,Red Devil Landfill,Sarah Durand,Class III Landfill,Active,Current,Red Devil
390,Red Dog Mine Waste Disposal,Neil Lehner,Mining Waste Monofill,Active,Current,Red Dog
66,Red Dog Port Site Camp,Neil Lehner,Class III Camp Landfill,Active,Current,Red Dog
63,Ruby Landfill,Sarah Durand,Class III Landfill,Active,Current,Ruby
296,Russian Mission Landfill,Stephen Price,Class III Landfill,Active,Current,Russian Mission
617,Safety Waste Incineration,Lori Aldrich,Treatment Facility,Active,Current,Wasilla
309,Saint George Landfill,Melinna Faw,Class III Landfill,Active,Current,Saint George
297,Saint Mary's Landfill,Stephen Price,Class III Landfill,Active,In Progress,Saint Marys
165,Saint Michael Landfill,Trisha Bower,Class III Landfill,Active,Current,Saint Michael
521,Saint Paul Ataqan Landfill,Melinna Faw,Class III Landfill,Active,Current,Saint Paul
703,Saint Paul TDX Inert Waste,Melinna Faw,Inert Monofill,Active,Current,Saint Paul
1792,Salcha Canaday Road C & D Monofill ,Neil Lehner,Inert Monofill,Active,Current,Salcha River State Recreation Site
520,Sand Point Landfill,Melinna Faw,Class III Landfill,Active,Current,Sand Point
370,Savant Badami Drilling Waste G&I/GP,Reese Thieme,Treatment Facility,Active,Current,Deadhorse
458,Savoonga Landfill,Trisha Bower,Class III Landfill,Active,Current,Savoonga
299,Scammon Bay Landfill,Stephen Price,Class III Landfill,Active,Current,Scammon Bay
3771,Sealaska Keete Inlet Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Hydaburg
3726,Sealaska Keete Inlet Woodwaste in a Rock Pit GP,Christi Scott,Woodwaste Monofill,Active,Current,Hydaburg
3770,Sealaska McKenzie Inlet Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Kasaan
3740,Sealaska McKenzie Inlet Woodwaste GP,Christi Scott,Woodwaste Monofill,Active,Current,Thorne Bay
3722,Sealaska Ninchin Cove Woodwaste in a Rock Pit,Christi Scott,Woodwaste Monofill,Active,Current,Kasaan
386,Selawik Landfill,Christi Scott,Class III Landfill,Active,,Selawik
655,Seldovia Rocky Ridge Landfill,Evan Miller,Class III Landfill,Active,Current,Seldovia
404,Seward KPB C&D Landfill,Evan Miller,Inert Monofill,Active,Current,Seward
303,Shageluk Landfill,Sarah Durand,Class III Landfill,Active,Current,Shageluk
407,Shaktoolik Landfill,Trisha Bower,Class III Landfill,Active,Current,Shaktoolik
459,Shishmaref Landfill,Trisha Bower,Class III Landfill,Active,Current,Shishmaref
460,Shungnak Landfill,Christi Scott,Class III Landfill,Active,Current,Shungnak
692,Sitka Granite Creek Landfill,Christi Scott,Class III Landfill,Active,Current,Sitka
3773,Sitka McG Constructors Overburden Granite Creek Site ,Christi Scott,Other,Active,,Sitka
1691,Sitkinak Island Mobile Abattoir,Evan Miller,Other,Active,,Kodiak
501,Skagway Ash Landfill,Christi Scott,Class III Landfill,Active,Current,Skagway
306,Sleetmute Landfill,Sarah Durand,Class III Landfill,Active,Current,Sleetmute
255,Soldotna KPB Central Landfill,Evan Miller,Class I Landfill,Active,Current,Soldotna
307,South Naknek Landfill,Stephen Price,Class III Landfill,Active,Current,South Naknek
308,Sparrevohn LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Sparrevohn Air Force Station
167,Stebbins Landfill,Trisha Bower,Class III Landfill,Active,Current,Stebbins
1799,Stevens Village 1.5 mile North Landfill,Trisha Bower,Class III Landfill,Active,Current,Stevens Village
1783,Stony River Landfill,Sarah Durand,Class III Landfill,Active,Current,Stony River
3769,Taiga Mining Co Goodpaster Camp,Sarah Durand,Remote Camp or Lodge Landfill,Active,Current,Delta Junction
543,Takotna Landfill,Sarah Durand,Class III Landfill,Active,Expired,Takotna
315,Talkeetna Refuse Transfer Station,Evan Miller,Transfer Station,Active,,Talkeetna
417,Tanacross Landfill,Sarah Durand,Class III Landfill,Active,Current,Tanacross
169,Tanana Landfill,Trisha Bower,Class III Landfill,Active,Current,Tanana
316,Tatalina LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,McGrath
546,Tatitlek Landfill,Melinna Faw,Class III Landfill,Active,Current,Tatitlek
548,Telida Landfill,Sarah Durand,Class III Landfill,Active,Current,Telida
170,Teller Landfill,Trisha Bower,Class III Landfill,Active,Current,Teller
632,Tetlin .5 mile East Landfill,Sarah Durand,Class III Landfill,Active,Current,Tetlin
3774,Tetlin 1- Time Sewage Solid Monofill,Sarah Durand,1-Time Sewage Solids Monofill,Active,Expired,Tetlin
21,Thorne Bay Landfill,Christi Scott,Class III Landfill,Active,Current,Thorne Bay
173,Tin City LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Tin City
560,Togiak Heights Road Landfill,Stephen Price,Class III Landfill,Active,Current,Togiak
549,Togiak North Pacific Seafoods Camp,Stephen Price,Class III Camp Landfill,Active,Current,Togiak
108,Tok Landfill,Sarah Durand,Class III Landfill,Active,Current,Tok
319,Toksook Bay Landfill,Melinna Faw,Class III Landfill,Active,Current,Toksook Bay
320,Tolsona Landfill,Evan Miller,Class III Landfill,Active,Current,Tolsona
695,Tordrillo Mountain Lodge Camp GP,Evan Miller,Remote Camp or Lodge Landfill,Active,Current,Skwentna
1735,To-toy-lon River Lodge Camp GP,Evan Miller,Remote Camp or Lodge Landfill,Active,Current,Matanuska
3710,Trust Land Office West Icy Bay Inlet Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Yakutat
321,Tuluksak Dump Road Landfill,Melinna Faw,Class III Landfill,Active,Current,Tuluksak
3712,Tuntutuliak 1-Time C&D,Melinna Faw,1-Time Inert Waste Monofill,Active,Current,Tuntutuliak
