Site ID,Name,Manager,Classification,Status,Permit Status,Region
322,Tuntutuliak Landfill,Melinna Faw,Class III Landfill,Active,Current,Tuntutuliak
323,Tununak Landfill,Melinna Faw,Class III Landfill,Active,Current,Tununak
3752,Twin Hills Beach Road Landfill,Stephen Price,Class III Landfill,Active,Current,Twin Hills
256,Tyonek Landfill,Evan Miller,Class III Landfill,Active,Current,Tyonek
478,Ugashik Landfill,Stephen Price,Class III Landfill,Active,Current,Ugashik
329,Umnak Island Bering Pacific Camp GP,Evan Miller,Remote Camp or Lodge Landfill,Active,Expired,Fort Glenn
1719,Unalakleet City 1-Time C&D,Neil Lehner,1-Time Inert Waste Monofill,Active,Expired,Unalakleet
178,Unalakleet Landfill,Trisha Bower,Class III Landfill,Active,Current,Unalakleet
327,Unalaska Landfill,Evan Miller,Class I Landfill,Active,Current,Unalaska
181,Usibelli Coal Mine Landfill,Neil Lehner,Inert Monofill,Active,Current,Healy
334,Valdez C&D Landfill,Evan Miller,Inert Monofill,Active,Current,Valdez
332,Valdez Landfill,Evan Miller,Class II Landfill,Active,Current,Valdez
462,Venetie Landfill,Trisha Bower,Class III Landfill,Active,Current,Venetie
1801,Viking Lumber Woodwaste,Christi Scott,Woodwaste Monofill,Active,Current,Klawock
182,Wainwright Landfill,Trisha Bower,Class III Landfill,Active,Current,Wainwright
429,Wales Landfill,Trisha Bower,Class III Landfill,Active,Current,Wales
3642,Wasilla Merrell Bros Land Application,Lori Aldrich,Land Application Site,Active,Expired,Wasilla
3388,Waterfall Resort Camp GP,Christi Scott,Remote Camp or Lodge Landfill,Active,Current,Craig
3796,Western Alaska Copper and Gold,Sarah Durand,1-Time Inert Waste Monofill,Active,Current,Kaltag
3801,Western Alaska Copper and Gold Illinois Creek,Sarah Durand,Remote Camp or Lodge Landfill,Active,Current,Kaltag
463,White Mountain Landfill,Trisha Bower,Class III Landfill,Active,Current,White Mountain
647,Whitestone Farms Landfill,Neil Lehner,Class III Landfill,Active,Current,Delta Junction
3798,World Class Mining White Creek Landfill,Doug Buteyn,1-Time Inert Waste Monofill,Active,Current,Cantwell
364,Yakutat Landfill,Christi Scott,Class III Landfill,Active,Current,Yakutat
