Permit,Site / Facility,City,Owner / Operator,Date Issued,Primary SIC/NAICS code,Seconday SIC/NAICS code,GPS Latitude,GPS Longitude,Facility Physical Address,Facility Physical Description,Borough (or similar governemtn subdivision),Phone number,email address
AKR06AF42,Alaska Aerofuel Inc.,Fairbanks,Alaska Aerofuel Inc.,1-May-20,,,,,,,,,
AKR06GA93,Peak Gold Project,Tok,"Peak Gold, LLc.",1-May-20,,,,,,,,,
AKR06AB73,KRM Quarry,Ketchikan,SECON,1-May-20,,,,,,,,,
AKR06AF55,Trident Seafoods Kodiak Pillar Mountain - KPM,Kodiak,Trident Seafoods,30-Apr-20,,,,,,,,,
AKR06AA94,Ketchikan International Airport,Ketchikan,Ketchikan International Airport,21-Apr-20,,,,,,,,,
AKR06AA26,Ugadaga Quarry,Unalaska,Northern Alaska Contractors,17-Apr-20,,,,,,,,,
AKR06AB33,Calder Mine,Calder           ,Columbia River Carbonates,17-Apr-20,,,,,,,,,
AKR06GA67,Ward Cove Facility-Delta Western,Anchorage,"Delta Western, LLC",10-Mar-20,,,,,,,,,
AKR06GA59,Sockeye Point,Seward,Sockeye Point Marine Services LLC,21-Feb-20,,,,,,,,,
AKR06GA54,Delta Western Juneau-Auke Bay Dock Fixed Facility,Juneau,"Delta Western, LLC",22-Jan-20,,,,,,,,,
AKR06GA43,Petro Star Fairbanks Rail and Truck Terminal,FAIRBANKS,Petro Star Inc,28-Oct-19,,,,,,,,,
AKR06GA41,Trident St Paul MSGP,Saint Paul,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA38,Trident Seafoods Chignik Support Facility,Chignik,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA37,Trident Seafoods Chignik Production Facility,Chignik,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA30,False Pass Fueling Services LLC,False Pass,Trident Seafoods,16-Sep-19,,,,,,,,,
AKR06GA29,False Pass Seafoods LLC,False Pass,Trident Seafoods,16-Sep-19,,,,,,,,,
AKR06GA26,Sterling Cement WP,Sterling,Halliburton Energy Services Inc.,4-Sep-19,,,,,,,,,
AKR06GA25,Fairbanks Bulk Cement Plant,Fairbanks,Halliburton Energy Services,4-Sep-19,,,,,,,,,
AKR06GA24,Baroid Mud Plt,Deadhorse,Halliburton Energy Services,4-Sep-19,,,,,,,,,
AKR06GA23,Halliburton North Slope Prudhoe Field Camp,Deadhorse,"Halliburton Energy Services, Inc",4-Sep-19,,,,,,,,,
AKR06GA22,Colville Transport-Van Horn Fuel Transfer Facility,Fairbanks,Colville Inc,23-Aug-19,,,,,,,,,
AKR06GA17,MPC North Pole Terminal Facility,North Pole,MPC Alaska Terminal Company LLC,1-Aug-19,,,,,,,,,
AKR06GA16,Alaska Stormwater Maintenance Yard,Anchorage,Alaska Stormwater Maintenance,17-Jul-19,,,,,,,,,
AKR06GA14,Salcha Canaday Homestead C&amp;D Monofill,Salcha,Central Recycling Services,3-Jul-19,,,,,,,,,
AKR06GA08,American President Lines Buskin Yard,Kodiak,"American President Lines, LLC",5-Jun-19,,,,,,,,,
AKR06GA03,Alaska Waste Juneau Facility,Juneau,Alaska Waste,21-May-19,,,,,,,,,
AKR06GA01,Alaska Waste Sitka Facility,Sitka,Alaska Waste,21-May-19,,,,,,,,,
AKR06GA04,Curry Quarry_3,Talkeetna,"Alaska Industrial, LLC",9-May-19,,,,,,,,,
AKR06AF98,Cameron,Anchorage,Cameron International Corporation,1-May-19,,,,,,,,,
AKR06GA00,Upper Kalskag Operations,Kalskag,"Knik Construction Co, Inc",24-Apr-19,,,,,,,,,
AKR06AF93,Platinum Operations,Platinum,Knik Construction,20-Mar-19,,,,,,,,,
AKR06AF90,Alaska Central Express,Anchorage,ACE Air Cargo,7-Feb-19,,,,,,,,,
AKR06AF87,Trident Seafoods North Naknek,Naknek,Trident Seafoods,2-Jan-19,,,,,,,,,
AKR06AF84,Anarraaq and Aktigiruq Exploration Access Road,Kivalina,Teck American Incorporated,17-Dec-18,,,,,,,,,
AKR06AF79,"Peak Oilfield Service Company, LLC - Valdez",Valdez,Peak Oilfield Service Company,11-Dec-18,,,,,,,,,
AKR06AF81,Shaw Creek,Delta Junction,Carpenter Contracting Inc,10-Dec-18,,,,,,,,,
AKR06AF80,Aurora Energy - MSGP,Fairbanks,Aurora Energy,3-Dec-18,,,,,,,,,
AKR06AF70,Granite Creek Rock Quarry Reconfigured Lease Lot 4,Sitka,"K &amp; E Alaska, Inc",7-Nov-18,,,,,,,,,
AKR06AF72,Halibut Point Marine Services,"Sitka, ",Halibut Point Marine Services,17-Sep-18,,,,,,,,,
AKR06AF65,Dot Island Ship Moorage and LSA,Ketchikan,"Sealaska Timber Company, LLC",24-Aug-18,,,,,,,,,
AKR06AF53,Summit ESP LLC,Kenai,"Summit ESP, LLC",30-May-18,,,,,,,,,
AKR06AF49,Unalaska Landfill,Unalaska,"City of Unlaska, Dept of Public Utilties",30-May-18,,,,,,,,,
AKR06AF52,Houston Sand and Gravel,Houston,Houston Sand and Gravel,23-May-18,,,,,,,,,
AKR06AF51,JAG Alaska Seward Facility,Seward,"JAG Alaska, Inc.",22-May-18,,,,,,,,,
AKR06AF45,True North Gravel Pit,Fairbanks,"True North Constructors, Inc",9-May-18,,,,,,,,,
AKR06AF39,Port MacKenzie Log Transfer Facility,Big Lake,Denali Timber Management,30-Apr-18,,,,,,,,,
AKR06AF43,Valdez Small Boat Harbor,Valdez,City of Valdez,25-Apr-18,,,,,,,,,
AKR06AF36,TOTE Maritime Alaska,Anchorage,TOTE Maritime Alaska,24-Apr-18,,,,,,,,,
AKR06AF44,Petro Star Inc PoA Terminal,Anchorage,Petro Star Inc.,18-Apr-18,,,,,,,,,
AKR06AF41,Off-Airport Fuel Facility,Anchorage,Menzies Aviation,2-Apr-18,,,,,,,,,
AKR06AF34,Great Circle Flight Service LLC,Anchorage,ANC AK Holdidngs LLC,12-Mar-18,,,,,,,,,
AKR06AF24,Alaska Marine Trucking Y1 Yard,Anchorage,Alaska Marine Trucking,12-Feb-18,,,,,,,,,
AKR06AF27,Tesoro Fairbanks Petroleum Terminal,Fairbanks,"Tesoro Logistics Operations, LLC",7-Feb-18,,,,,,,,,
AKR06AF18,Usibelli Coal Mine- Rosalie Mine,Healy,Usibelli Coal Mine,18-Jan-18,,,,,,,,,
AKR06AF21,Exit Marine LLC,Seward,Exit Marine LLC,2-Jan-18,,,,,,,,,
AKR06AF12,Nov Tuboscope Nikiski,Nikiski,National Oilwell Varco,30-Oct-17,,,,,,,,,
AKR06AE94,Metco Alaska LLC,Seward,Metco Inc,10-Aug-17,,,,,,,,,
AKR06AE81,Purinton Products- West Susitna Pit,Big Lake,Purinton Products LLC,21-Jul-17,,,,,,,,,
AKR06AE88,Snake Lake Quarry,Dillingham,"Bristol Construction Services, LLC",18-Jul-17,,,,,,,,,
AKR06AE89,Trident Seafoods Sand Point Facility,Sand Point,Trident Seafoods,16-Jun-17,,,,,,,,,
AKR06AE68,Unalakleet Airport,Unalakleet,ADOT &amp; PF,13-Jun-17,,,,,,,,,
AKR06AE67,St Marys Airport,Saint Marys,ADOT &amp; PF,8-Jun-17,,,,,,,,,
AKR06AE84,Barrow Fuel Storage Facility,Barrow,"Eskimos, Inc.",11-May-17,,,,,,,,,
AKR06AE83,Silver Bay Seafoods - Craig MSGP,Craig,Silver Bay Seafoods,3-May-17,,,,,,,,,
AKR06AE71,Delta Air Lines Fairbanks Station (FAI),Fairbanks,Delta Global Services- Delta Airlines,31-Mar-17,,,,,,,,,
AKR06AE44,Matson Terminal Dutch Harbor,Dutch Harbor,"Matson Navigtion Company of Alaska, LLC",2-Mar-17,,,,,,,,,
AKR06AE72,Homer Truck Barn &amp; Maintenance Facility,Homer,Petro 49 Inc.,1-Mar-17,,,,,,,,,
AKR06AE62,Safeway,Anchorage,Carrs-Safeway,22-Feb-17,,,,,,,,,
AKR06AE69,Barefoot Beach Log Transfer Facility,Afognak,Koncor Forest Products,14-Feb-17,,,,,,,,,
AKR06AE64,Granite Creek Rock Quarry Lot 5,Sitka,City and Borough of Sitka,24-Jan-17,,,,,,,,,
AKR06AE60,Anchorage Terminal 2,Anchorage,Tesoro Logistics Opeations LLC,9-Nov-16,,,,,,,,,
AKR06AE56,Symth Drive Facility,Anchorage,Knik Construction,31-Oct-16,,,,,,,,,
AKR06AE47,Klehini Sand and Gravel,Haines,"Southeast Roadbuilders, Inc.",20-Sep-16,,,,,,,,,
AKR06AE41,Samson Freight Terminal,Ketchikan,Sampson Tug &amp; Barge,14-Sep-16,,,,,,,,,
AKR06AE40,PenAir King Salmon Facility,King Salmon,"Peninsula Airways, Inc.",14-Sep-16,,,,,,,,,
AKR06AE31,Wasilla Creek Gravel Pit,Palmer,"Neeser Construction, Inc.",17-Aug-16,,,,,,,,,
AKR06AE36,Lower Kalskag,Lower Kalskag,City of Lower Kalskag,16-Aug-16,,,,,,,,,
AKR06AE35,Matson Terminal Anchorage,Anchorage,"Matson Navigation Company of Alaska, LLC",16-Aug-16,,,,,,,,,
AKR06AE30,Sitka CMI Asphalt Plant,Sitka,Colaska dba Secon,27-Jul-16,,,,,,,,,
AKR06AE27,Ocean Dock Terminal,Anchorage,Tesoro Logistics Operations LLC,21-Jul-16,,,,,,,,,
AKR06AE26,Edna Bay Log Transfer Facility,Klawock,Alcan Forest Products LP,21-Jul-16,,,,,,,,,
AKR06AE22,X551 CMI Hot Plant,Juneau,"Miller Construction Co., LTD",11-Jul-16,,,,,,,,,
AKR06AE19,Keete Inlet LTF,Hydaburg,Sealaska Timber Corporation,1-Jul-16,,,,,,,,,
AKR06AE18,McKenzie Inlet LTF,Thorne Bay,Sealaska Timber Corporation,1-Jul-16,,,,,,,,,
AKR06AE24,Quality Sand &amp; Gravel-Morgan,Palmer,Quality Sand &amp; Gravel,1-Jul-16,,,,,,,,,
AKR06AE21,Yakutat Airport- Delta Western Operations,Yakutat,"Delta Western, LLC",14-Jun-16,,,,,,,,,
AKR06AD97,Juneau International Airport-Aero,Juneau,Aero Services,3-Jun-16,,,,,,,,,
AKR06AE09,Ten Mile Sub 2 Tract C,Anchor Point,"Boondocks, LLC",23-May-16,,,,,,,,,
AKR06AE04,North Side Business Park Peat and Topsoil Operations,Fairbanks,Perrizo Enterprises,7-Apr-16,,,,,,,,,
AKR06AE05,North Side Business Park Peat and Topsoil Operations_2,Fairbanks,"North Side Development, LP",7-Apr-16,,,,,,,,,
AKR06AE00,Kingsberry Material Site,Nome,Innovation Mining,23-Mar-16,,,,,,,,,
AKR06AD92,Bering Air,Nome,Bering Air Inc,22-Feb-16,,,,,,,,,
AKR06AD93,Bering Air Kotzebue,Kotzebue,Bering Air Inc,22-Feb-16,,,,,,,,,
AKR06AD85,Nicks Auto Wrecking Salvage and Metal Recycling_2,Kodiak,Nicks Auto Wrecking Salvage and Metal Re,25-Jan-16,,,,,,,,,
AKR06AD65,Nixon Fork Mine MSGP,McGrath,Mystery Creek Resources Inc.,20-Jan-16,,,,,,,,,
AKR06AD87,North Park Fuels,Anchorage,North Park Fuels,19-Jan-16,,,,,,,,,
AKR06AD83,Akutan Boat Harbor_2,Akutan,City of Akutan,14-Jan-16,,,,,,,,,
AKR06AD80,"West Glacier Development, LLC",Juneau,"West Glacier Development, LLC",14-Dec-15,,,,,,,,,
AKR06AD79,"Quality Sand &amp; Gravel, LLC",Palmer,"Quality Sand &amp; Gravel, LLC",14-Dec-15,,,,,,,,,
AKR06AD78,Signature Flight Support Corp,Anchorage,Signature Flight Support Corp.,10-Dec-15,,,,,,,,,
AKR06AD71,Sitka Ready-Mix Rental Equipment,Sitka,"Sitka Ready-Mix Rental Equipment, LLC",2-Dec-15,,,,,,,,,
AKR06AD81,Airport Pit,Hoonah,Cascade Sand and Gravel,1-Dec-15,,,,,,,,,
AKR06AD68,Foster Construction,Kenai,"Foster Construction, Inc.",30-Nov-15,,,,,,,,,
AKR06AD66,D &amp; S Concrete Inc,Anchorage,D &amp; S Concrete Inc.,30-Nov-15,,,,,,,,,
AKR06AD64,Dillingham Quarry,Dillingham,"Knik Construction Co., Inc",25-Nov-15,,,,,,,,,
AKR06AD63,Juneau International Airport_Alaska Seaplanes,Juneau,Alaska Seaplanes,24-Nov-15,,,,,,,,,
AKR06AD57,PenAir Hangar and L1 Gate Ramp at ANC Intl Airport,Anchorage,"Peninsula Airways, Inc., dba PenAir",18-Nov-15,,,,,,,,,
AKR06AD54,Burkeshore Marina_1,Big Lake,"Burkeshore Marina Enterprises, LLC",18-Nov-15,,,,,,,,,
AKR06AD53,Wrangell Marine Service Center,Wrangell,City of Wrangell,4-Nov-15,,,,,,,,,
AKR06AD51,Hoonah Marine Industrial Center MSGP,Hoonah,City of Hoonah,2-Nov-15,,,,,,,,,
AKR06AD47,Deadhorse Aviation Center,Deadhorse,"Deadhorse Aviation Center, LLC",29-Oct-15,,,,,,,,,
AKR06AD36,S&amp;S Aggregate,Haines,S&amp;S Aggregate,27-Oct-15,,,,,,,,,
AKR06AD29,Brown Anchor Point Material Site,Anchor Point,Brown Construction Company Inc,20-Oct-15,,,,,,,,,
AKR06AD42,Juneau International Airport,Juneau,"City and Borough of Juneau, Airport Dept",15-Oct-15,,,,,,,,,
AKR06AD34,City of Seward Rock Quarry_2,Seward,"Hamilton Construction, LLC",14-Oct-15,,,,,,,,,
AKR06AD40,Juneau International Airport_Coastal Fuel Inc.,Juneau,"Coastal Fuel, Inc.",14-Oct-15,,,,,,,,,
AKR06AD25,DSG Cantwell Pit,Cantwell,Denali Sand &amp; Gravel LLC,13-Oct-15,,,,,,,,,
AKR06AD38,ISC Kodiak USCG Installation MSGP,Kodiak,US Coast Guard,8-Oct-15,,,,,,,,,
AKR06AD35,Kenai Municipal Airport MSGP,Kenai,City of Kenai,6-Oct-15,,,,,,,,,
AKR06AD27,"Alaska Scrap and Recycling, LLC",Anchorage,"Alaska Scrap and Recycling, LLC",28-Sep-15,,,,,,,,,
AKR06AD26,Vigor Alaska Ketchikan,Ketchikan,"Vigor Industrial, LLC",28-Sep-15,,,,,,,,,
AKR06AD12,Emulsion Products Viking Facility,Anchorage,Emulsion Products Company,23-Sep-15,,,,,,,,,
AKR06AD21,HC Redi Mix Facility,North Pole,"HC Contractors, Inc.",21-Sep-15,,,,,,,,,
AKR06AD23,Alaska General Seafoods-Naknek Mile 1,Naknek,Alaska General Seafoods,21-Sep-15,,,,,,,,,
AKR06AD24,Alaska General Seafoods -Naknek Mile 1.5,Naknek,Alaska General Seafoods ,21-Sep-15,,,,,,,,,
AKR06AD19,Alaska General Seafoods-Ketchikan,Ketchikan,Alaska General Seafoods-Ketchikan,17-Sep-15,,,,,,,,,
AKR06AD16,Inter-Island Ferry Authority Clark Bay Hollis Terminal,Hollis,Inter-Island Ferry Authority,14-Sep-15,,,,,,,,,
AKR06AD14,Eielson Air Force Base,Eielson AFB,US Air Force,8-Sep-15,,,,,,,,,
