Permit,Site / Facility,City,Owner / Operator,Date Issued,Primary SIC/NAICS code,Seconday SIC/NAICS code,GPS Latitude,GPS Longitude,Facility Physical Address,Facility Physical Description,Borough (or similar governemtn subdivision),Phone number,email address
AKR06AC04,Alaska Airlines Yakutat Station,Yakutat,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AC00,Alaska Airlines Petersburg Station,Petersburg,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AB99,Alaska Airlines Prudhoe Bay Station,Prudhoe Bay,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AB97,Alaska Airlines Sitka Station,Sitka,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AB96,Alaska Airlines Wrangell Station,Wrangell,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AC08,City of Kodiak Wastewater Treatment Plant- MSGP,Kodiak,City of Kodiak,4-Aug-15,,,,,,,,,
AKR06AC15,USAF Eareckson Air Station,Shemya Island,Chugach Federal Solutions,4-Aug-15,,,,,,,,,
AKR06AB95,Ralph Wien Memorial Airport Kotzebue AK,Kotzebue,ADOT&amp;PF,4-Aug-15,,,,,,,,,
AKR06AB94,Nome Airport,Nome,ADOT&amp;PF,4-Aug-15,,,,,,,,,
AKR06AB92,Valdez Pioneer Field Airport,Valdez,ADOT&amp;PF,4-Aug-15,,,,,,,,,
AKR06AB91,Merle K Mudhole Smith Airport Cordova AK,Cordova,ADOT&amp;PF,4-Aug-15,,,,,,,,,
AKR06AB89,Deadhorse Airport,Prudhoe Bay,ADOT&amp;PF,4-Aug-15,,,,,,,,,
AKR06AB67,Carlile Aspen Facility,Fairbanks,"Carlile Transportation Systems, Inc.",4-Aug-15,,,,,,,,,
AKR06AB66,Carlile Kenai Facility,Kenai,Carlile Transportation Systems Inc.,4-Aug-15,,,,,,,,,
AKR06AC48,Petersburg Bulk Plant,Petersburg,Petro49 Inc.,4-Aug-15,,,,,,,,,
AKR06AC49,Craig Bulk Plant,Craig,Petro49 Inc.,4-Aug-15,,,,,,,,,
AKR06AC50,Homer Bulk Plant,Homer,Petro49 Inc.,4-Aug-15,,,,,,,,,
AKR06AC51,Juneau Bulk Plant,Juneau,Petro49 Inc.,4-Aug-15,,,,,,,,,
AKR06AC52,Ketchikan Bulk Plant,Ketchikan,Petro49 Inc.,4-Aug-15,,,,,,,,,
AKR06AC16,Alaska Airlines Anchorage Station,Anchorage,Alaska Airlines Inc,4-Aug-15,,,,,,,,,
AKR06AB85,"Wiley Post/Will Rogers Airport, Barrow, AK",Barrow,ADOT&amp;PF,3-Aug-15,,,,,,,,,
AKR06AB84,Bethel Operations Yard,Bethel,"Knik Construction Co., Inc.",3-Aug-15,,,,,,,,,
AKR06AB76,Fairbanks International Airport - DOT&amp;PF,Fairbanks,Fairbanks International Airport-DOT&amp;PF,3-Aug-15,,,,,,,,,
AKR06AB64,Carlile Anchorage Facility,Anchorage,"Carlile Transportation Systems, Inc.",3-Aug-15,,,,,,,,,
AKR06AB71,Klawock Rock,Klawock,"Southeast Road Builders, Inc.",3-Aug-15,,,,,,,,,
AKR06AC38,Ravn-Aniak Airport,Aniak,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AC39,Ravn-Deadhorse Airport,Prudhoe Bay,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AC40,Ravn Fairbanks,Fairbanks,Ravn Alaska ,3-Aug-15,,,,,,,,,
AKR06AC41,Ravn-Nome Airport,Nome,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AC42,Ravn-Galena Airport,Galena,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AC43,Ravn-Kotzebue Airport,Kotzebue,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AC44,Ravn-St. Mary&#39;s Airport,St. Marys,Ravn Alaska,3-Aug-15,,,,,,,,,
AKR06AB70,Alaska Railroad Corp. Whittier Yard,Whittier,Alaska Railroad Corporation,31-Jul-15,,,,,,,,,
AKR06AB69,Alaska Railroad Corp. Hurricane Section,Cantwell,Alaska Railroad Corporation,31-Jul-15,,,,,,,,,
AKR06AB68,Alaska Railroad Corp. Fairbanks Yard,Fairbanks,Alaska Railroad Corporation,31-Jul-15,,,,,,,,,
AKR06AB65,Anchorage Sand &amp; Gravel - Klatt Rd Facility,Anchorage,Anchorage Sand and Gravel Co Inc,31-Jul-15,,,,,,,,,
AKR06AB57,Kodiak St Herman Harbor Boatlift Facility,Kodiak,City of Kodiak,31-Jul-15,,,,,,,,,
AKR06AC32,Moose Horn Quarry LLC,Chugiak,"Moosehorn Quarry, LLC",31-Jul-15,,,,,,,,,
AKR06AC18,B &amp; R Fish Near Island Quarry,Kodiak,B &amp; R Fish ,31-Jul-15,,,,,,,,,
AKR06AC34,Ravn-Valdez Airport ,Valdez,Ravn Alaska ,31-Jul-15,,,,,,,,,
AKR06AC35,Ravn-Barrow Airport,Barrow,Ravn Alaska,31-Jul-15,,,,,,,,,
AKR06AC36,Ravn-Unalakleet Airport,Unalakleet,Ravn Alaska,31-Jul-15,,,,,,,,,
AKR06AC29,Ravn-Homer Airport,Homer,Ravn Alaska,30-Jul-15,,,,,,,,,
AKR06AC28,Ravn-Kenai Airport,Kenai,Ravn Alaska,30-Jul-15,,,,,,,,,
AKR06AC27,Ravn-Kodiak Airport,Kodiak,Ravn Alaska,30-Jul-15,,,,,,,,,
AKR06AC26,Ravn-Bethel Airport,Bethel,Ravn Alaska,30-Jul-15,,,,,,,,,
