CWPName,SourceID,CWPStreet,CWPCity,CWPState,RegistryID,CWPSICCodes,CWPNAICSCodes,FacLat,FacLong,CWPFacilityTypeCode,FacMapFlg,"DFR URL"
"LOOKOUT COVE LTF MSGP",AKR06GA99,"AFOGNAK ISLAND",KODIAK,AK,110070792131,2411,,58.10406,-152.33222,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GA99&sys=ICP
"LYDEN SOUTH AIRPARK ANC-GP",AKR061008,"6441 SOUTH AIRPARK PLACE",ANCHORAGE,AK,110070520062,4512,,61.161764,-149.985793,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061008&sys=ICP
"MENZIES ANC-GP",AKR061017,"6000 DEHAVILLAND AVE.",ANCHORAGE,AK,110070711052,4581,,61.182224,-149.995494,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061017&sys=ICP
"METCO ALASKA LLC",AKR06GB04,"2701 SEWARD HIGHWAY",SEWARD,AK,AKR06GB04,1442,,60.141331,-149.420238,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GB04&sys=ICP
"NOATAK RIVER GRAVEL MINE-NIMIUK PT GRAVEL MINE",AKR06GA40,"MILE 18 NOATAK RIVER- NIIUK POINT ON UPPER B",KOTZEBUE,AK,110070624900,1442,,67.15749,-162.3281,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GA40&sys=ICP
"NOME TANK  FARM",AKR06AC56,"701 LOMEN AVENUE",NOME,AK,110025243412,5171,,64.501188,-165.416712,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AC56&sys=ICP
"NORTH LEMON CREEK MATERIAL SOURCE",AKR06AD61,"LEMON CREEK VALLEY",JUNEAU,AK,110070518205,1442,,58.3661,-134.4815,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AD61&sys=ICP
"NORTHERN AIR CARGO ANC-GP",AKR061009,"3900 OLD INTERNATIONAL AIRPORT RD.",ANCHORAGE,AK,110070712301,"4581 4512",,61.17418,-149.95927,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061009&sys=ICP
"NORTHWEST AUTO PARTS_1",AKR06AA61,"5700 CAMELOT DRIVE",ANCHORAGE,AK,110021035716,5015,,61.22055,-149.77463,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA61&sys=ICP
"PEAK GOLD PROJECT",AKR06GA93,"MILE 1306 ALASKA HIGHWAY",TOK,AK,110070792358,1041,,63.182599,-142.892308,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GA93&sys=ICP
"PEGASUS AVIATION SERVICES ANC-GP",AKR061015,"3901 OLD INTERNATIONAL AIRPORT RD.",ANCHORAGE,AK,110070247103,4581,,61.174178,-149.959275,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061015&sys=ICP
"POGO MINE MSGP",AKR06AC58,"3204 INTERNATIONAL ST","DELTA JUNCTION",AK,110009058802,1041,,64.449722,-144.939623,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AC58&sys=ICP
"PORT OF CORDOVA SHIPYARD FACILITY",AKR06AA24,"OCEAN DOCK SUBDIVISION, BLOCK 2",CORDOVA,AK,110067182783,"3731 3732",,60.558611,-145.749722,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA24&sys=ICP
"QAP C STREET FACILITY",AKR06AB16,"240 WEST 68TH AVENUE",ANCHORAGE,AK,110070500955,2951,,61.155765,-149.883457,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AB16&sys=ICP
"RAVN ANCHORAGE ",AKR061004,"4700 OLD INTERNATIONAL AIRPORT RD.",ANCHORAGE,AK,110070520223,"4512 4581",,61.17418,-149.9728,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061004&sys=ICP
"ROSS AVIATION - ANC-GP",AKR061005,"6160 CARL BRADY DRIVE",ANCHORAGE,AK,110070707700,4581,,61.16458,-149.98097,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061005&sys=ICP
"SEWARD ROCK QUARRY",AKR06AA85,"MILE 1.3 DIECKGRAEFF ROAD",SEWARD,AK,110067375548,"1422 1423 1429",,60.156389,-149.455278,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA85&sys=ICP
"SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER",AKR06AA04,"700 PORT AVE.",SEWARD,AK,110025220883,5171,,60.1219,-149.43389,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA04&sys=ICP
"SILVER BAY SEAFOODS - NAKNEK",AKR06AF32,"622 FRONTIER STREET, PO BOX 622",NAKNEK,AK,110058379589,2092,,58.744073,-156.951987,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF32&sys=ICP
"SILVER BAY SEAFOODS FALSE PASS MSGP",AKR06GA10,"100 BEACH FRONT ROAD","FALSE PASS",AK,110070550883,2092,,54.867911,-163.407979,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GA10&sys=ICP
"SILVER BAY SEAFOODS, VALDEZ",AKR06AD73,"210 SOUTH HARBOR DRIVE",VALDEZ,AK,110064604094,"2092 2077",,61.124963,-146.346857,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AD73&sys=ICP
"SILVER BAY SEAFOODS- SITKA",AKR06AE82,"4400 SAWMILL CREEK ROAD",SITKA,AK,110057702669,2092,,57.044991,-135.231389,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE82&sys=ICP
"SKOOKUM QUARRY",AKR06GB09,"17633 OLD GLENN HIGHWAY",CHUGIAK,AK,AKR06GB09,"1422 1429",,61.3804,-149.4915,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GB09&sys=ICP
"SNUG HARBOR ROAD MATERIAL SITE",AKR06AA79,"34179 SNUG HARBOR ROAD","COOPER LANDING",AK,110070505870,1442,,60.4812,-149.76772,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA79&sys=ICP
"SOUND QUARRY INC",AKR06AF94,"110 FRONT STREET SUITE 300, BOX 2011",NOME,AK,110070528944,1411,,64.5425,-163.03021,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF94&sys=ICP
"SOUTH LEMON CREEK MATERIAL SOURCE",AKR06AD60,"LEMON CREEK VALLEY (OFF THE END OF ANKA STREET)",JUNEAU,AK,110070370237,1442,,58.3608,-134.4785,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AD60&sys=ICP
"SOUTHEAST STEVEDORING MARINE SERVICE CENTER",AKR06AF61,"2712 BEAR CLAN ST",KETCHIKAN,AK,110070257659,3732,,55.317824,-131.596346,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF61&sys=ICP
"STABLER POINT ROCK QUARRY",AKR06AC70,"MILE 13 VETERAN'S MEMORIAL HIGHWAY",JUNEAU,AK,110069597172,"1429 1422",,58.3832,-134.6681,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AC70&sys=ICP
"SWISSPORT USA ANC-GP",AKR061016,"4551 AIRCRAFT DRIVE, #225",ANCHORAGE,AK,110070712644,4581,,61.17815,-149.976689,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061016&sys=ICP
"SYSCO ALASKA INC",AKR06AF88,"6601 CHANGEPOINT DRIVE",ANCHORAGE,AK,110070148253,5141,,61.161651,-149.904478,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF88&sys=ICP
