Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
3M Greystone Quarry,3M GREYSTONE QUARRY,410 Decatur Dr,MAINE - T,Marathon,737153010,1392,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
701 Investments LLC,Spread Eagle Pit,Hwy 2 NW NE Sec 11 T39N R19E,-,Florence,419006720,52462,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Heating Plumbing & Excavating,Joan's pit,1474 N STH 40,EXELAND - V,Sawyer,,59175,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,CTH H pit,1474 N STH 40,EXELAND - V,Sawyer,,59174,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,Ewert pit,1474 N STH 40,EXELAND - V,Sawyer,,59176,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,Schweitzer pit,1474 N STH 40,EXELAND - V,Sawyer,,59172,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heatting & Excavating,CTH B pit,1474 N STH 40,EXELAND - V,Sawyer,,59173,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,RIB MOUNTAIN QUARRY,Prehn Dr,MAINE - T,Marathon,337002270,3084,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,"WISCONSIN, RUBY RED QUARRY",2180 Maine Drive,MAINE - T,Marathon,337002380,3114,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,Anderson Bros Rose Jr. Quarry,"NW NW, Sec 36, T30N, R8E",TEXAS - T,Marathon,,36074,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"AW Oakes & Son, Inc","AW OAKES & SON, INC",2000 Oakes Road,RACINE - C,Racine,399081870,47554,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
"AW Oakes & Son, Inc.",PM Crushing Mobile Unit 1,Variable,STURTEVANT - V,Racine,399091770,50276,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Abraham Trucking Excavating,Walters Pit,11245 N 73rd St.,WAUSAU - C,Marathon,,45023,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Adam Enterprises Inc,Adams Sand and Gravel,29128 52nd Street,SALEM - T,Kenosha,399065810,41482,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Adam Scheunemann - Pit,Shell Rock Pit,T24N R5E Sec 33,MILLADORE - T,Wood,772053370,21868,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Adams County,Adams County - Clay Borrow Pit,Cottonville Drive,STRONGS PRAIRIE - T,Adams,,65392,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"Advance Concrete and Excavating, Inc.","Advance Concrete and Excavating, Inc. Ace Pit (Karau Pit)","T27N, R2E, S34",BRIGHTON - T,Marathon,737067540,16114,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Advanced Concrete Inc,Advanced Concrete Inc Schlapbach Pit,"W1941 County Hwy F, Albany, WI",ALBANY - T,Green,,63314,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Advanced Concrete Inc,Kranig Quarry - Advanced Concrete Properties Brooklyn LLC,"N8862 County Hwy E, Brooklyn",BROOKLYN - T,Green,,51935,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Advanced Disposal Services Cranberry Creek Landfill LLC,Advanced Disposal Services Cranberry Creek Landfill - Pit,Engel Road,SIGEL - T,Wood,772163810,63478,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Agenda Town,Dul Road Pit,T41N R1W S13,AGENDA - T,Ashland,802014510,34534,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Agenda Town,Silver Creek Road Pit,"T42N,R1E,S7",AGENDA - T,Ashland,,34535,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Aggrecon LTD,Aggrecon Ltd,16800 Little Elkhart Lake Road,KIEL - C,Manitowoc,436122720,3040,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Aggregate Produced Products Inc,APPI Union Pit Rock County #8,"North East Union Rd, Evansville",UNION - T,Rock,399066360,41169,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Aggregates of Michigan LLC,Aggregates of Michigan LLC,Antonissen Road,NIAGARA - T,Marinette,,68349,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Akan Town,Town of Akan Pit,"12249 Hwy 171, Blue River, WI 53518",AKAN - T,Richland,153034970,58688,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Alan Rathsack,Rathsack Pit,"T34N,R4W,S5",GROW - T,Rusk,,30217,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Albert P Brick - Brick Pit,Brick Pit,R8W Sec36,LAFAYETTE - T,Chippewa,609027650,21765,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Albright Brothers,Albright Brothers,NE SW Sec 9 T18N R14E,OMRO - T,Winnebago,471159150,24715,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Albrightson Excavating - Woodville Pit,Woodville Pit,"sw1/4, sw 1/4 sec. 25, T29N, R16W",BALDWIN - T,St. Croix,656055070,22508,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Albrightson Excavation Inc,Albrightson Excavation Inc - Pit,T29N R16W Sec26 S1/2 SW1/4,BALDWIN - T,St. Croix,656034170,21630,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Alden Town of,Town of Alden,NW SW Sec.4 T32N R17W,-,Polk,,58847,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Alden Town of,West Immanuel Pit,Sec.7 T32N R17W,ALDEN - T,Polk,,58845,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Allen Amundson,Amundson pit,41490 Frels Rd.,CABLE - T,Bayfield,,59055,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Allen Fred Hannemann,Allen Fred Hannemann Pit,"T42N,R2W,S14",JACOBS - T,Ashland,802007910,34307,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Allied Stone LLC,Allied Stone LLC Kessenich Pit,"900 E Hwy 133, Avoca, WI",PULASKI - T,Iowa,,72490,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Alpine Inc Alpines Dirt Pit,Alpine Inc Dirt Pit,"CTH T, just west of Relax Ln.",EGG HARBOR - T,Door,415013500,19326,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Altman Excavating Inc,Altman Pit,3595 51N,MERCER - T,Iron,826000450,16893,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Altmann Trucking and Excavating,Hanson Pond Expansion,"SE1/4, SE1/4, Sec 26, T24N, R5E- 7777 Hetze Road",SHERRY - T,Wood,772146760,41232,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"American Asphalt Materials, Inc.","American Asphalt Materials, Inc.",N56 W12828 Silver Spring Rd,MENOMONEE FALLS - V,Waukesha,268028420,1588,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
"American Materials , LLC",American Materials LLC Yard 205,6300 628th Avenue,RED CEDAR - T,Dunn,317001190,13681,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
American Materials LLC,PLT 20 - PIT 20/21 Bohl /Dodge,435 21 1/2 Street,SIOUX CREEK - T,Barron,603080170,8251,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
"American Materials, LLC",Portable Concrete Plant # 10-36,various locations throughout the state,-,Eau Claire,399098810,52914,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Anderson Bros & Johnson Div of Michels - Rose Pit,Rose Quarry,"SE NW and NE SW, Sec 36, T30N, R8E",TEXAS - T,Marathon,,36075,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Anderson Brothers,Utley Quarry P&Q Wausau Area LLC,"North of Utley Quarry Road, East of Railroad",GREEN LAKE - T,Green Lake,424015680,41910,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Anderson Excavating, Inc - Pit",Anderson Excavating - Sand Pit,T28N R17W Sec24,RUSH RIVER - T,St. Croix,656018440,21567,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Anderson Forest Products,Anderson Forest Products Gravel Pit,"Rademaker Road, Wausaukee",WAUSAUKEE - V,Marinette,,37046,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Andrew Komisar - Komisar Sand Pit,Komisar Sand Pit,T23N R14W Sec30 SE NW,FRANKFORT - T,Pepin,647001960,21768,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Andrew Lotter,Andrew Lotter,Cty M Sec. 27,BERN - T,Marathon,737019910,17791,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Luppino Pit,"T46N,R2E,Sec27 Hwy 77",MONTREAL - C,Iron,826002100,34169,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Gurney sand pit,T47N R1W Sec 33,-,Iron,,57989,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Kimball Riverside quarry,P O Box 100,KIMBALL - T,Iron,,59542,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Kimball SP pit,P O Box 100,KIMBALL - T,Iron,,59543,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Kimball Parcel ID# 008-0237,NE SE Sec 6 T46N R2E,KIMBALL - T,Iron,,59406,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Kimball Parcel Pit #008-0032-0000,NW SE Sec 2 T46N R2E,KIMBALL - T,Iron,,59410,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Kimball Quarry,NE NE Sec 5 T46N R2E,KIMBALL - T,Iron,,59405,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Kimball Quarry #2 PARCEL ID# 0183-0000,SE SE Sec 32 T47N R1E,KIMBALL - T,Iron,,59404,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Mercer Parcel ID#012-0547-0000,NW NE Sec 1 T42 R3E,MERCER - T,Iron,,59416,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Oma 51 Pit,NW SW Sec 29 T45N r3E,OMA - T,Iron,,59414,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Angelo Luppino Inc,Town of Saxon Parcel ID#0705-0000,SW SW Sec18 T46N R1E,SAXON - T,Iron,,59415,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ann Jozwiak Masonry,Ann Jozwiak Masonry,Hwy C and Sec 26,GUENTHER - T,Marathon,737005500,17789,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Anthony M Hawke - Pit,Gravel Pit,T23N R11E Sec23 NW SW,SCANDINAVIA - T,Waupaca,,25234,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Arkola Construction,Judy Arkola & Ron Arkola Gravel Pit,"NW 1/4 of the SE 1/4 Section 33, T34N, R2E",HILL - T,Price,,40672,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Arthur Beschta - Beschta Pit,Arthur Beschta - Beschta Pit,NE SW S26 T23N R16E,BOVINA - T,Outagamie,,27697,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Ashland Construction Co,Sanborn Ave Sand Pit,"T47N,R4W,S7",ASHLAND - C,Ashland,,34237,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ashland Construction Inc,Perch Lake Pit,"T47N,R8w,S20",IRON RIVER - T,Bayfield,804060290,34607,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ashland County Highway Department,Highbridge Sand Pit,CTH C,ASHLAND - T,Ashland,802007800,2981,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ashland County Highway Department,Chippewa Pit,Highbridge,-,Ashland,,58233,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ashland County Highway Department,Highbridge Borrow Pit,Highbridge,-,Ashland,,58234,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Ashland County Highway Department,LaPointe Sand Pit,"T51N, R2W, Sec 27",LA POINTE - T,Ashland,,34167,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
"Ashley Furniture Industries, Inc. - Pit",Sand Pit,"One Ashley Way, T20N R9W Sec6 NW NE",ARCADIA - T,Trempealeau,662005520,21703,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Asphalt Contractors Inc,Hollenberger/Draeger Quarry,"W8101 Hope Lake Road, Lake Mills",OAKLAND - T,Jefferson,,71873,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
"B & L Excavating , Inc. - Parker Quarry",Parker Quarry,"Sec. 16 & 21, T 14N, R 01E",HILLSBORO - T,Vernon,,25824,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
B Anderson Excavating LLC,Angelo Anderson Commerical Sand Mine,Hazelwood Ave,ANGELO - T,Monroe,642087270,65980,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"B. Anderson Excavating, LLC - Topsoil Mine",B. Anderson Excavating Topsoil Mine,"NW 1/4, SE 1/4, Sec. 25, T 17N, R 03W",ANGELO - T,Monroe,,31410,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"B. Anderson Excavating, LLC-Anderson Sand",Anderson Sand Pit,"NW 1/4, Sw 1/4, Sec. 25, T 17N, R 03W",ANGELO - T,Monroe,,31409,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"B.S. Construction, Inc.-Schoeder Quarry # 1",Schoeder Quarry # 1,"Sec. 34, T27N, R15W",SPRING LAKE - T,Pierce,648004390,22534,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"B.S. Construction, Inc.-Schoeder Quarry # 2",Schoeder Quarry # 2,"Sw 1/4, Se 1/4, Sec. 15, T26N, R15W",ROCK ELM - T,Pierce,648004500,22535,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
B4 Investments LLC,Ryan Street Pond,"SE1/4, SE1/4, Sec 27, T28N, R8E",WESTON - V,Marathon,737220220,38235,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
BARD MATERIALS,BARD Materials Thoni Quarry,"NW of Reesen RD & Co Rd ID, Barneveld, WI 53507",BRIGHAM - T,Iowa,125044370,63015,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BARD Materials,BARD Materials Cassville Quarry,"State Rd 133, Cassville, WI",CASSVILLE - T,Grant,122033780,18635,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BARD Materials,BARD Materials Dickeyville Quarry,"Oak Rd, Dickeyville, WI",PARIS - T,Grant,122033890,18636,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BARD Materials,BARD Materials Haverland Quarry,"Busch Ln, Dickeyville, WI",PARIS - T,Grant,122057870,28602,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BARD Materials,BARD Materials Dodgeville Quarry (Hwy 23),"3425 State Hwy 23, Dodgeville",DODGEVILLE - T,Iowa,,64575,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BARD Materials,BARD Materials Swiggum Quarry,"3290 Survey Rd, Dodgeville; US Hwy 18/151 & Survey Rd",DODGEVILLE - T,Iowa,,64576,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
BEST Enterprises LLC,Greenleaf Quarry,1829 Day Street,WRIGHTSTOWN - T,Brown,405002400,2472,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
BFI Waste Systems of North America LLC,South Borrow Site,"T37N, R12W, Sec. 22",SARONA - T,Washburn,,41642,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
BFI Waste Systems of North America LLC,Zajec Clay Borrow Area,N4117 Cranberry Lake Road,STRICKLAND - T,Rusk,,18089,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
BURLINGTON QUARRIES CORPORATION,BURLINGTON QUARRIES CORPORATION,HIGHWAY 11 AND MORMON(CO LINE ROAD),SPRING PRAIRIE - T,Walworth,265114740,15173,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
BURLINGTON SPRING VALLEY,BURLINGTON SPRING VALLEY,1235 Spring Valley Rd,BURLINGTON - T,Racine,252001860,71157,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
BWP F LLC,BWP F LLC Excavation Site,"W Porter Rd, Evansville, WI",EVANSVILLE - C,Rock,154173030,67719,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Badger Mining Corporation,BMC - Menke Property,"W300 Utley Quarry Road, Markesan, WI 53946",MACKFORD - T,Green Lake,424015350,42554,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Badgerland Aggregate, LLC",Badgerland Aggregates - HWY Q Pit,12415 HWY Q,GIBSON - T,Manitowoc,436001060,2816,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Badgerland Aggregates, LLC",Badgerland Aggregates - Shoto Quarry,"1301 Kristy-Bob Lane, Two Rivers, WI 54241",TWO RIVERS - T,Manitowoc,436058480,39066,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Badgerland Aggregates, LLC",Badgerland Aggregates Hwy X Pit,14620 County Road X,MEEME - T,Manitowoc,,39074,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Bard Materials,BARD Materials Ashton Quarry,"5618 W Airport Rd, Lancaster, WI",SOUTH LANCASTER - T,Grant,122069090,51320,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Barron County Highway Department,Campia pit- Northern Unit,260N 7th Street,BARRON - C,Barron,399101560,53662,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Barron County Highway Department,Campia Pit- Southern Unit,"South Hwy 48, T35N,R10W,S5",DOYLE - T,Barron,603101070,3007,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Barron County Highway Department,Ekenstedt Gravel Pit,"260 North 7th Street, Barron WI",CUMBERLAND - T,Barron,,48015,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Barron County Highway Department,Scalzo Pit,SE NE Sec.3 T35N R10W,DOYLE - T,Barron,,58808,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Barron County Highway Department - Wheeler,Wheeler Pit,"T33N, R14W, S26",TURTLE LAKE - T,Barron,,45254,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Barron County Highway Dept,Amys Pit,"CTH I, Sioux Creek Twnshp",-,Barron,,47094,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Batzler Trucking,Steger Pit,"W2897 Haven Drive, Campbelsport, WI 53010",ASHFORD - T,Fond Du Lac,420088130,39683,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Batzler Trucking Inc,Wiesner Site,Auburn - Ashford Drive,ASHFORD - T,Fond Du Lac,420150170,53480,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating,Devils Nest Pit,T32N R6W Sec 1 NW SW,LAKE HOLCOMBE - T,Chippewa,609043050,38688,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating LLC,Hulle Pit,N7478 CTH H,MCKINLEY - T,Taylor,,29065,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating LLC,Nitek Pit,"T33N,R6W,S12",WILLARD - T,Rusk,,30216,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating LLC,Bill Haase Pit 194,"T33N,R5W,S31",MARSHALL - T,Rusk,,30213,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating LLC,Haase Pit,"T33N,R6W,S25",WILLARD - T,Rusk,,30215,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Baughman Trucking & Excavating LLC,Schmidt Pit,"T34N,R4W,S5",LAWRENCE - T,Rusk,,30218,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Baumhardt Sand & Gravel Goebel Pit,Baumhardt Sand & Gravel Goebel Pit,W4518 County Road B,OSCEOLA - T,Fond Du Lac,420032800,28805,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Bayfield County,Tulip Lane Pit,117 E 5th St,WASHBURN - C,Bayfield,,59559,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bayfield County Forestry Department,Sand River pit (Pit #0024),"T51N,R5W,S13",BAYFIELD - T,Bayfield,804063810,34771,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bayfield County Forestry Department,Sand Pit #2,"T51N, R5W, Secs 13 & 24",BAYFIELD - T,Bayfield,,43018,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bayfield County Highway Department,Ruth Lake Pit,"SE NW T47N,R8W,S31 Ruth Lake Road",IRON RIVER - T,Bayfield,804054240,34363,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bayfield County Highway Department,Highway D Pit,"T43N, R6W, Sec 2",NAMAKAGON - T,Bayfield,,44462,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bazile's Hills - Pit,Bazile Pit,"Bazile Lane, just north of facility detail address",WYOMING - T,Waupaca,,25159,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
"Becker Trucking & Excavating, Inc. - N Pit",Becker Trucking - N Pit,"NW, SE, Sec. 15, T 24N, R 5 E",SHERRY - T,Wood,772136310,30051,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"Becker Trucking & Excavating, Inc.- K Quarry","Becker Trucking & Excavating, Inc.- K Quarry","N1/2, SW1/4, Sec. 13, T24N, R04E",ARPIN - T,Wood,772100450,22585,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Belvine Glodowski,Belvine Glodowski Pit,9971 Hwy 10,AMHERST - T,Portage,750004860,19038,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Bergmann Farms,Bergmann Farms Pit,1753 160th Ave,ST. CROIX FALLS - T,Polk,,58813,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Berkshire Lands Inc,Berkshire Lands Inc Quarry,N Butler Rd,MORSE - T,Ashland,,70182,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Bernie Ritchie,Ritchie Sand Pit,N6078 Buelow Rd,LEBANON - T,Waupaca,,43145,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Biehl Excavating Inc Anderson Pit,Biehl Excavating Inc Anderson Pit,106 Anderson Rd,PORTERFIELD - T,Marinette,438001740,3138,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Biehl Excavating Inc Biehl Quarry,Biehl Quarry,110 Gravel Pit Road,PORTERFIELD - T,Marinette,438001630,3137,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Biehl Excavating Inc Groeschel Pit,Biehl Excavating Inc Groeschel Pit,Hwy P,LAKE - T,Marinette,438021870,17518,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
