Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
Verrette Materials Wagner Quarry,Wagner Quarry,"W4027 Hwy 180 T33N, R22E, Sec17 NW",WAGNER - T,Marinette,438022310,25239,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Vince Cottrell,Cottrell Pit,W3104 Schiller Drive,MERRILL - T,Lincoln,,58768,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Viner Family LP,Viner Family LP,Buchner Pl and Milwaukee Street,LA CROSSE - C,La Crosse,632134360,41671,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Vinton Construction Company,Portable Crusher,1436 S. 15th Street,SHEBOYGAN - C,Sheboygan,399104750,56430,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
W & D Navis Inc. Luytan Property,Luytan Property,W8797 Spruce Road,BEAVER DAM - C,Dodge,,38111,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
"W & D Navis, Inc",Lary Zimmerman Site,NW NW S16 T12N R14E Spruce RD,BEAVER DAM - T,Dodge,,36777,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
"W & D Navis, Incorporated",Kirk Warmka Pit,So & W of intersection of CTH A & Breezy Point Rd,TRENTON - T,Dodge,114119390,42971,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
W N Yoss Construction Inc,W N Yoss Construction Inc Pit,6117 S County Rd G,LA PRAIRIE - T,Rock,154139590,22158,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
W N Yoss Construction Inc,W N Yoss Construction Inc Kennedy Rd Pit,"3900 Kennedy Rd, Janesville, 53546",JANESVILLE - C,Rock,,56017,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
WDNR - Flambeau River State Forest,Payne Farm Gravel Pit,Payne Farm Road,DRAPER - T,Sawyer,,65222,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
WDNR River Road Pit,River Road Pit,NW SE Sec 3 T39N R9E,SUGAR CAMP - T,Oneida,,57983,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
WDNR Tribly Pit,Northern Highland American Legion State Forest Tribly Pit,SE NE Sec. 14 T40N R6E,BOULDER JUNCTION - T,Vilas,,48742,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
WHEATON TOWN - ECKWRIGHT PIT,ECKWRIGHT PIT,SE SE SECT 11 T28N R10W,WHEATON - T,Chippewa,,28074,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
WI DNR,Kimberly Clark Wildlife Area,"Section 20, T38N, R2W",FLAMBEAU - T,Price,,47149,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
WI Northern Hardwoods NMTC,WI Northern Hardwoods NMTC,200 Michigan St Suite 722,HANCOCK - T,Sawyer,,59064,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
WK Construction Company Inc,WK Stone Inc,4292 Twin Valley Rd,MIDDLETON - C,Dane,998260780,22121,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
WOLF CONSTRUCTION INC,WOLF CONSTRUCTION INC - SUMMIT PIT,HWY C AT WOLF ROAD,GENESEE - T,Waukesha,268291760,20409,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
WOLF CONSTRUCTION INC,WOLF CONSTRUCTION INC - WARING PIT,.5 MI E HWY H ON LAWNSDALE ROAD (HWY I),WAUKESHA - C,Waukesha,268292310,20408,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
WOLF CONSTRUCTION INC -THIENE-BREEN PIT,Wolf Construction- Thiene-breen Pit,612 N Sawyer Rd,SUMMIT - T,Waukesha,268381630,10865,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
WRJ Properties LLC,Sand and Gravel Pit,SW SE Sec 36 T29N R8E,WAUSAU - T,Marathon,737252450,71460,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wabasha Sand Gravel - Schlosser Pit,Schlosser Pit,"SE1/4, NW 1/4 S 8, T25N, R13W",DURAND - T,Pepin,647002180,22571,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Walliin Trucking LLC,Reincke Pit,N23223 Hwy 53,ETTRICK - T,Trempealeau,662070530,50691,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Walter Huse Bulldozing,Walter Huse Sand Pit,Town Shop Rd,SAMPSON - T,Chippewa,609025010,21578,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wamsley Excavating Quarry Products LLC,Wamsley Excavating Quarry Products LLC LM Wiest Quarry,"6816 State Highway 81, Cassville",CASSVILLE - T,Grant,122070300,62910,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wamsley Excavating Quarry Products LLC,Wamsley Excavating Quarry Products LLC Raisbeck Quarry,"9155 Krogman Lane, Bloomington, WI",BEETOWN - T,Grant,122070410,62911,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wamsley Excavating Quarry Products LLC,Wamsley Excavating Quarry Products LLC Wamsley Quarry,"6657 Camel Ridge Rd, Cassville, WI",WATERLOO - T,Grant,122070520,62915,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wanek Sand Supply,David Mueller,HWY V V; east of B and west of Sunset Rd,TWO RIVERS - T,Manitowoc,,30747,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
